,v_CA16_5807: Bicycle,GeoUID,Type,Region Name,Area (sq km),Population ,Dwellings ,Households ,v_CA16_488: Total lone-parent families by sex of parent,v_CA16_491: Total - Couple census families in private households - 100% data,v_CA16_497: Total - Lone-parent census families in private households - 100% data,v_CA16_502: Total - Persons not in census families in private households - 100% data,v_CA16_501: Total - Persons not in census families in private households - 100% data,v_CA16_503: Total - Persons not in census families in private households - 100% data,v_CA16_505: One-census-family households,v_CA16_508: Multiple-census-family households,v_CA16_509: Non-census-family households
192,35,5350166.0,CT,Toronto,0.78603,4180,1691,1625,120,950,115,295,765,470,1045,10,570
193,30,5350167.01,CT,Toronto,0.13410999999999998,1879,1483,1312,50,375,50,310,930,620,425,0,885
194,110,5350167.02,CT,Toronto,0.60145,5815,3143,2998,290,1115,290,810,2045,1230,1355,25,1620
195,60,5350168.0,CT,Toronto,0.56552,5475,2665,2458,405,1000,400,610,1505,895,1290,55,1110
196,10,5350169.01,CT,Toronto,0.3781,3472,1457,1334,225,710,225,320,790,470,815,60,460
197,40,5350169.02,CT,Toronto,0.43778,7464,3318,3202,495,1530,495,640,1710,1065,1845,85,1270
198,10,5350170.0,CT,Toronto,1.01423,3321,1305,1201,200,740,205,265,600,330,815,60,320
199,10,5350171.0,CT,Toronto,0.6081,4055,1613,1522,440,640,435,300,715,410,960,55,505
200,10,5350172.0,CT,Toronto,1.21015,2522,1183,1128,255,410,260,350,635,285,620,25,480
201,0,5350173.0,CT,Toronto,0.60145,3694,1528,1438,415,560,415,430,820,390,860,55,520
202,10,5350174.0,CT,Toronto,1.06328,7264,2751,2723,695,1220,695,585,1255,670,1765,75,885
203,0,5350175.01,CT,Toronto,0.8012600000000001,6036,2551,2406,590,900,585,695,1415,720,1335,70,995
204,10,5350175.02,CT,Toronto,0.74248,7679,3813,3585,765,1090,760,1205,2295,1090,1745,55,1785
205,20,5350176.0,CT,Toronto,1.00471,4277,1697,1609,285,930,285,345,695,355,1115,45,450
206,35,5350180.0,CT,Toronto,0.6138,6556,2875,2765,490,1205,490,750,1555,805,1590,50,1125
207,105,5350181.01,CT,Toronto,0.57055,4313,1940,1858,200,1035,200,380,885,505,1185,25,650
208,70,5350181.02,CT,Toronto,0.60182,3552,1664,1591,230,735,230,470,880,415,900,35,660
209,110,5350182.0,CT,Toronto,0.7605,5531,2297,2186,245,1330,245,400,870,470,1490,40,655
210,65,5350183.01,CT,Toronto,0.52409,2603,1048,1007,110,630,110,185,420,235,695,25,290
211,130,5350183.02,CT,Toronto,0.42813,3938,1584,1522,170,970,170,245,580,335,1055,35,425
212,95,5350184.01,CT,Toronto,0.47406000000000004,5108,2346,2307,315,1085,315,520,1190,670,1315,45,945
213,50,5350184.02,CT,Toronto,0.56201,3768,1694,1642,245,800,245,405,840,435,985,25,625
214,205,5350185.01,CT,Toronto,0.49918999999999997,6810,3507,3394,405,1360,405,940,2020,1085,1710,30,1660
